Date,Open,High,Low,Close,Volume
2020-01-02,3258.6,3280.76,3229.5,3276.23,3968306739
2020-01-03,3258.85,3284.38,3257.6,3261.46,3569282498
2020-01-06,3303.43,3305.54,3260.76,3287.86,4247090727
2020-01-07,3309.34,3319.2,3266.21,3294.92,3673395570
2020-01-09,3242.35,3264.21,3231.06,3237.63,4102764687
2020-01-10,3234.35,3269.44,3224.64,3246.98,3952115839
2020-01-13,3241.5,3247.54,3232.37,3243.68,3670372667
2020-01-14,3293.99,3310.6,3259.28,3277.73,3526757887
2020-01-16,3227.07,3274.34,3200.88,3247.04,3516438577
2020-01-17,3249.52,3276.34,3227.37,3253.31,3745460368
2020-01-20,3173.26,3201.69,3143.79,3191.48,3657486986
2020-01-22,3264.49,3289.27,3229.1,3248.36,3635247766
2020-01-23,3226.28,3253.92,3220.92,3227.02,4314948858
2020-01-24,3212.85,3240.48,3190.32,3215.47,4050096077
2020-01-27,3255.18,3268.46,3232.87,3263.9,4007624680
2020-01-29,3280.88,3280.94,3257.05,3267.9,3396786000
2020-01-30,3288.59,3304.07,3266.06,3292.87,4158276366
2020-02-03,3238.42,3248.11,3214.28,3220.4,4781952334
2020-02-05,3192.53,3192.57,3185.92,3186.81,4514417484
2020-02-06,3137.63,3161.42,3130.7,3148.23,4394726658
2020-02-11,3006.8,3025.33,2977.34,2992.54,5393745012
2020-02-12,2987.94,3010.77,2952.74,2980.97,6122445275
2020-02-14,3011.73,3025.04,2965.59,2992.83,5849629605
2020-02-18,2880.1,2886.53,2857.91,2866.4,7037401355
2020-02-19,2802.26,2803.46,2786.87,2794.31,6643247827
2020-02-21,2817.51,2818.11,2784.03,2812.78,7042314597
2020-02-24,2667.73,2689.61,2648.03,2682.73,7271116955
2020-02-25,2675.99,2687.66,2659.75,2666.82,8247141732
2020-02-27,2673.83,2704.44,2649.14,2689.18,8529282497
2020-02-28,2672.07,2681.66,2659.66,2667.37,8724464225
2020-03-02,2575.48,2588.39,2539.07,2568.69,8819574016
2020-03-03,2550.08,2587.54,2526.86,2563.36,8363348407
2020-03-05,2617.64,2651.34,2598.53,2627.92,8779230601
2020-03-06,2665.83,2676.36,2647.27,2673.68,8155683348
2020-03-09,2676.49,2705.82,2654.44,2675.58,7703330129
2020-03-10,2710.49,2748.64,2685.54,2726.62,8282614676
2020-03-12,2699.29,2720.46,2659.09,2681.11,7821028356
2020-03-13,2750.16,2779.53,2734.15,2764.55,8071363752
2020-03-16,2761.32,2780.71,2744.17,2756.66,7968044996
2020-03-17,2729.7,2748.39,2704.51,2725.24,8231085651
2020-03-19,2777.75,2798.77,2746.33,2769.08,7561485077
2020-03-20,2848.34,2866.01,2803.75,2831.84,7890097826
2020-03-23,2857.97,2882.09,2833.73,2850.3,7458741418
2020-03-24,2855.73,2858.75,2835.36,2841.8,7156799194
2020-03-26,2887.02,2901.73,2879.74,2885.44,7033171048
2020-03-27,2922.79,2939.24,2906.81,2919.35,7800877024
2020-03-30,2880.39,2906.61,2868.78,2883.78,7568448373
2020-04-01,2947.56,2972.83,2926.47,2947.59,7317579742
2020-04-02,2944.67,2950.58,2920.3,2944.36,7618172249
2020-04-03,2899.37,2929.17,2874.62,2901.02,7538076162
2020-04-06,2958.44,2987.21,2944.31,2973.14,7087994958
2020-04-08,2978.0,3008.08,2969.41,2997.82,7357948436
2020-04-09,2949.57,2992.84,2939.15,2968.68,7062769658
2020-04-13,2911.22,2913.1,2896.03,2911.06,6940147209
2020-04-15,3002.46,3023.26,2988.89,2998.27,6414462712
2020-04-16,2992.25,3008.45,2963.12,2976.37,6297667629
2020-04-21,2958.67,2988.54,2941.06,2974.83,6699412286
2020-04-22,2961.36,3000.66,2950.09,2974.95,5766330367
2020-04-23,3073.73,3089.16,3048.0,3070.51,5752491830
2020-04-28,2987.04,3001.11,2961.99,2975.82,5521998409
2020-04-29,3060.17,3087.39,3045.49,3048.42,5576243283
2020-05-01,3067.51,3090.37,3054.63,3061.08,5808488824
2020-05-05,3054.17,3056.35,3037.95,3041.87,5919976022
2020-05-06,3015.18,3056.26,3002.31,3026.92,5305777389
2020-05-08,3004.28,3022.33,2987.0,3007.84,5798450508
2020-05-12,3092.03,3129.15,3074.44,3110.38,5318465715
2020-05-13,3125.87,3139.45,3117.45,3125.12,5703509581
2020-05-15,3029.58,3052.6,3002.56,3043.06,5139972987
2020-05-19,3082.25,3095.09,3045.24,3063.67,5806821596
2020-05-20,3057.2,3059.07,3032.31,3041.92,5617988441
2020-05-22,3134.84,3164.77,3117.1,3133.1,5385726553
2020-05-26,3098.88,3114.08,3072.02,3094.59,5423608582
2020-05-27,3080.14,3117.24,3061.98,3094.95,5743766630
2020-05-29,3053.22,3090.3,3040.71,3060.89,5290137885
2020-06-01,3082.71,3101.33,3071.97,3087.74,5567517166
2020-06-02,3125.34,3154.51,3116.56,3144.08,5438126901
2020-06-03,3178.4,3185.13,3153.29,3165.15,5057174182
2020-06-05,3177.45,3192.88,3162.55,3175.09,4870277039
2020-06-08,3187.75,3211.53,3163.47,3168.84,4928284917
2020-06-09,3116.68,3141.1,3095.55,3121.62,5143109083
2020-06-11,3139.22,3151.9,3117.0,3142.84,5600969787
2020-06-12,3226.99,3233.47,3216.07,3227.23,5440792856
2020-06-15,3152.8,3171.44,3145.95,3169.92,5484020415
2020-06-16,3181.22,3190.42,3152.66,3161.67,4967745833
2020-06-18,3166.15,3197.54,3148.81,3170.93,5279605207
2020-06-19,3178.34,3220.73,3162.54,3190.78,5025673005
2020-06-22,3236.13,3269.97,3235.39,3246.93,5367493311
2020-06-23,3276.84,3293.38,3263.63,3283.02,5004819505
2020-06-25,3223.5,3246.66,3204.62,3223.86,4857282260
2020-06-26,3245.59,3274.26,3227.15,3261.29,4508159953
2020-06-29,3249.31,3266.1,3215.18,3241.29,5176045606
2020-07-01,3320.71,3327.2,3307.75,3321.69,5157631481
2020-07-02,3327.69,3344.12,3311.16,3343.15,4807616258
2020-07-03,3298.42,3316.51,3273.51,3313.39,4858473867
2020-07-06,3303.87,3336.43,3276.11,3317.69,4763088500
2020-07-08,3269.46,3283.7,3264.59,3266.87,4748286950
2020-07-09,3339.35,3347.44,3338.21,3338.74,4995920046
2020-07-10,3294.87,3295.13,3280.81,3288.58,4283338471
2020-07-13,3352.49,3395.55,3329.12,3367.55,4960966284
2020-07-15,3308.41,3343.15,3305.97,3328.09,4646276437
2020-07-16,3459.29,3480.79,3448.56,3452.12,4764967205
2020-07-17,3384.83,3390.74,3374.42,3386.86,4674655546
2020-07-20,3434.09,3438.65,3416.32,3424.7,4569606262
2020-07-22,3404.21,3425.31,3389.58,3391.56,4205538671
2020-07-23,3475.33,3497.54,3438.41,3464.54,4200185368
2020-07-24,3475.25,3497.56,3432.37,3457.68,4792892403
2020-07-27,3483.76,3506.02,3457.17,3486.43,4746685908
2020-07-29,3485.93,3490.89,3461.52,3479.82,4720627574
2020-07-30,3416.91,3441.57,3406.67,3430.46,3928557290
2020-08-03,3444.39,3473.62,3419.02,3425.88,4252768169
2020-08-05,3538.63,3559.5,3530.05,3540.76,4698375760
2020-08-06,3539.44,3546.81,3517.53,3537.58,4597472297
2020-08-10,3463.47,3497.38,3462.52,3470.51,4903204778
2020-08-12,3504.36,3540.96,3484.93,3516.19,4315520757
2020-08-13,3486.96,3522.93,3484.17,3493.58,4659969880
2020-08-17,3428.58,3454.21,3406.76,3442.47,4363016071
2020-08-19,3407.24,3431.9,3380.51,3422.69,4284494547
2020-08-20,3473.04,3496.61,3462.53,3480.81,4725218286
2020-08-24,3349.46,3361.29,3316.67,3340.63,4484511570
2020-08-26,3368.86,3398.33,3358.49,3381.72,4873701176
2020-08-27,3324.14,3340.83,3306.84,3323.88,5034892781
2020-09-01,3377.25,3402.2,3361.9,3377.7,5576165531
2020-09-02,3366.46,3398.24,3365.83,3385.47,4889879077
2020-09-03,3321.05,3330.63,3308.41,3329.47,4746921074
2020-09-08,3294.31,3328.85,3286.49,3301.91,4781974982
2020-09-09,3378.72,3395.73,3359.44,3388.04,5068480345
2020-09-11,3368.81,3374.6,3327.39,3354.19,5495675902
2020-09-15,3314.5,3319.58,3302.72,3309.39,5090755651
2020-09-16,3359.63,3400.61,3340.56,3378.7,5909729378
2020-09-18,3378.55,3400.42,3344.82,3370.36,5628391564
2020-09-21,3259.63,3265.18,3256.58,3262.92,5518792849
2020-09-22,3363.08,3384.97,3338.95,3343.69,5909809456
2020-09-23,3279.04,3280.28,3245.97,3264.85,5441455196
2020-09-25,3331.54,3356.14,3292.54,3316.81,5206994941
2020-09-28,3211.56,3234.2,3205.19,3221.18,5839579740
2020-09-29,3216.94,3236.95,3196.96,3230.71,5490590257
2020-10-01,3284.97,3292.38,3268.68,3292.07,5690221850
2020-10-02,3309.76,3346.38,3303.87,3326.51,5716329656
2020-10-05,3356.19,3362.52,3322.43,3346.93,5245866281
2020-10-06,3268.79,3295.73,3249.74,3280.16,5599812145
2020-10-08,3385.1,3413.21,3358.87,3378.88,5678079128
2020-10-09,3311.8,3326.68,3303.08,3304.03,5314188062
2020-10-12,3435.33,3445.92,3389.15,3416.91,5459285061
2020-10-13,3418.59,3432.07,3388.65,3423.27,5347497132
2020-10-15,3477.3,3512.56,3474.82,3486.92,5108149344
2020-10-16,3442.85,3442.91,3417.31,3433.25,4965972295
2020-10-19,3404.33,3435.48,3384.43,3420.39,5196684451
2020-10-20,3552.28,3560.65,3524.57,3539.45,4890711931
2020-10-22,3442.28,3471.62,3435.37,3444.83,5075104206
2020-10-23,3496.8,3517.75,3482.36,3503.25,5225160014
2020-10-26,3577.37,3598.76,3563.62,3569.46,5368809215
2020-10-27,3625.38,3642.9,3622.85,3638.01,4786528341
2020-10-29,3648.88,3664.74,3623.75,3658.37,5379780672
2020-10-30,3656.59,3700.68,3632.14,3671.28,5244567807
2020-11-02,3693.37,3717.15,3673.21,3678.77,4619041445
2020-11-03,3583.01,3590.64,3545.25,3575.15,4226494955
2020-11-05,3639.86,3642.16,3611.12,3630.16,4733056173
2020-11-06,3646.87,3663.1,3628.63,3634.4,4607066603
2020-11-09,3599.17,3612.6,3572.66,3587.25,4496098766
2020-11-11,3693.58,3721.89,3689.29,3706.08,4872374424
2020-11-12,3685.55,3711.07,3657.8,3689.01,4125930016
2020-11-13,3722.17,3754.48,3697.64,3737.62,4887158459
2020-11-16,3706.02,3707.3,3687.42,3696.0,4432754753
2020-11-18,3736.15,3757.12,3722.33,3752.63,4707600582
2020-11-19,3756.15,3778.68,3750.16,3770.92,4626942702
2020-11-23,3711.33,3738.66,3710.73,3712.03,4471897676
2020-11-25,3746.07,3776.33,3723.45,3759.51,4633534082
2020-11-26,3780.81,3798.17,3760.87,3770.56,4553020942
2020-12-01,3732.72,3761.6,3707.68,3748.08,3697921208
2020-12-02,3756.21,3774.82,3731.17,3738.56,3797547808
2020-12-03,3778.98,3796.03,3768.69,3778.58,3654303603
